2018-03-07 00:12:32,046 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:12:32,054 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:12:32,055 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:12:44,696 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:12:44,697 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:12:44,699 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:12:44,700 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:13:11,277 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:13:11,278 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:13:11,278 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:13:11,279 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:17:41,738 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:17:41,740 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:17:41,741 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:17:41,742 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:18:42,148 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:18:42,150 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:18:42,152 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:18:42,154 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:18:49,408 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:18:49,409 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:18:49,410 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:18:49,411 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:27:01,592 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:27:01,593 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:27:01,594 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:27:01,595 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:29:07,078 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:29:07,079 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:29:07,080 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:29:07,081 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:29:45,799 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:29:45,801 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:29:45,806 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:29:45,807 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:30:07,419 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:30:07,420 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:30:07,421 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:30:07,422 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:30:15,439 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:30:15,443 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:30:15,445 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:30:15,446 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:34:55,417 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: net.xinqushi:testmybatis:0.0.1-SNAPSHOT @ E:\eclipse-workspace\testmybatis\pom.xml.
2018-03-07 00:34:55,887 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:34:55,889 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:34:55,891 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:34:55,892 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:34:55,893 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of testmybatis
2018-03-07 00:34:55,893 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for testmybatis
2018-03-07 00:34:55,896 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:34:57,298 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:34:57,300 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:34:57,306 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:34:57,307 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:35:00,742 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: net.xinqushi:testmybatis:0.0.1-SNAPSHOT @ E:\eclipse-workspace\testmybatis\pom.xml.
2018-03-07 00:35:01,106 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:35:01,108 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:35:01,109 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:35:01,110 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:35:01,110 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of testmybatis
2018-03-07 00:35:01,110 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for testmybatis
2018-03-07 00:35:01,113 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:35:26,760 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:35:26,763 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:35:26,768 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:35:26,769 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:36:58,693 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:36:58,694 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-07 00:36:58,697 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:36:58,698 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-07 00:38:15,517 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-07 00:38:15,518 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
